period,org,description,winner,sr_value,currency,foreign_amount,amount_raw,category
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,CAT Security,1869954.86,SR,,"SR1,869,954.86 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,XWO Security,2113209.18,SR,,"SR2,113,209.18 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Marpol Security,2268098.74,SR,,"SR2,268,098.74 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Shield Security,2031630.38,SR,,"SR2,031,630.38 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Royal Security Services,1767754.5,SR,,"SR1,767,754.5 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,La Digue Island Security Services,1486613.32,SR,,"SR1,486,613.32 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Development Bank of Seychelles,Update of IFRS 9 Modelling,BDO Associates,,USD,17500.0,"USD17,500.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Spares for Alva Laval Lube Oil Separators (Inspection Kits) (E/GR/183/20),Alfa Laval (Pty) Ltd,,EUR,5696.77,"EUR 5,696.77",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Spares for Data Loggers (WDS/001/21),Technology Limited,,EUR,5978.0,"EUR 5,978.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Spares for Wartsila Engines -Lubricating and Fuel Oil Filter Inserts (E/GR/184/20),Engginium International FZC,,EUR,26933.2,"EUR 26,933.20",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Strainer Basket (DES/001/21),FAM snc di Checcacci S. & C.,,EUR,6919.0,"EUR 6,919.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of 45MT Poly Aluminum Chloride (WSP/002/21),Optimus Global Trading FZ-LLC,,USD,29250.0,"USD 29,250.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Soda Ash (WSP/001/21),Optimus Global Trading FZ-LLC,,USD,21080.0,"USD 21,080.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Maintenance Spares for Wartsila Engines 18V32LN Turning Device (E/GR/002/21),Wartsila Global Logistics Services,,EUR,6285.2,"EUR 6,285.20",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Submersible Intake Pump Spares (EMW/001/21),Blue Zone Mauritius Ltd,,EUR,13488.0,"EUR 13,488.00",Utilities
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Request for Variation in Condition- Procurement of Safety Shoes (STO/001/20),VM Footwear,,USD,2371.9,"USD 2,371.90",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Pentair Cartridge Filter Housing Spares (DES/003/21),"Pentair Water, India Pvt Ltd",,USD,7450.0,"USD 7,450.00",Housing
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Upgrade Kits for Control Shaft Arrangement for Wartsila Engines (E/GR/062/20),Wartsila Global Logistics Services,,EUR,12260.0,"EUR 12,260.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Boat Charter Services for Laying of Submarine cable Between Eve Island and Round Island (PROJ/001/21),Vijay Construction (Seychelles Pty Ltd),407000.0,SR,,"SR 407,000.00",Maritime
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Preheater Water Pump Spares (E/GR/007/21),Wartsila Global Logistics Services,,EUR,5992.0,"EUR 5,992.00",Utilities
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Cable Joints and Terminations (E/DU/002/21),Nexans Power Accessories France,,EUR,16600.0,"EUR 16,600.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Ultra-Low Temperature Chest Freezer (E/GR/069/21),Legend General Supply,,SGD,16000.0,"SGD 16,000.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Refurbishment Works on the La Gogue Pipeline,Sinohydro Corporation Limited,,USD,119183.62,"USD 119,183.62",Infrastructure
Tender Award (JANUARY – APRIL 2021),Seychelles Heritage Foundation,Extension of Contract for Security Services,Marpol Security,113966.43,SR,,"SR113,966.43",Security
Tender Award (JANUARY – APRIL 2021),Ministry of Lands & Housing,Proposed Extension of Independence House 6th Floor at Victoria,H & R New Design & Build,1348230.0,SR,,"SR1,348,230.00",ICT
Tender Award (JANUARY – APRIL 2021),Seychelles Civil Aviation Authority,Modernisation of SCAA ICT Infrastructure and Systems,Birger International Ltd,,USD,1772503.16,"USD1,772,503.16",Infrastructure
Tender Award (JANUARY – APRIL 2021),Department of Energy & Climate Change,Procurement of Consultancy Services for Preparation of First Biennal Update Report under the UN Framework Convention on Climate Change 2020-2021 - Chapter 3,Island Carbon Consultant,273000.0,SR,,"SR273,000.00",Maritime
Tender Award (JANUARY – APRIL 2021),Department of Energy & Climate Change,Procurement of Consultancy Services for Preparation of First Biennal Update Report under the UN Framework Convention on Climate Change 2020-2021 - Chapter 4,CC Square Consulting,,USD,49500.0,"USD49,500.00",Maritime
Tender Award (JANUARY – APRIL 2021),Department of Energy & Climate Change,Procurement of Consultancy Services for Preparation of First Biennal Update Report,Island Carbon Consultant,136500.0,SR,,"SR136,500.00",Maritime
Tender Award (JANUARY – APRIL 2021),Department of Energy & Climate Change,Procurement of Consultancy Services for Preparation of First Biennal Update Report under the UN Framework Convention on Climate Change 2020-2021 - Chapter 6,Island Carbon Consultant,73710.0,SR,,"SR73,710.00",Maritime
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Low Voltage Cables,Apar Industries,,USD,199329.0,"USD199,329.00",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Lands & Housing,"Proposed Construction of Road, Retaining Wall & Rock Armouring and Drain at Lo Lanmar Beau Vallon - Variation",Dyna Construction,178011.82,SR,,"SR178,011.82",Infrastructure
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender West - Lot 2,Contita Cleaning Agency,351000.0,SR,,"SR351,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender West - Lot 3,Sandy’s Beach Cleaning,288000.0,SR,,"SR288,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender West - Lot 4,RG Agency,684000.0,SR,,"SR684,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender East B - Lot 2,Bambino Agency,1647108.36,SR,,"SR1,647,108.36",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender North - Lot 3,BB Services,1009040.0,SR,,"SR1,009,040.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender North - Lot 4,Shamie’s Cleaning Agency,624942.0,SR,,"SR624,942.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender North - Lot 5,SP Cleaning,594000.0,SR,,"SR594,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender- North - Lot 7,RL Cleaning Agency,323280.0,SR,,"SR323,280.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 5,Elvis Labrosse,1080000.0,SR,,"SR1,080,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 7,JMB Cleaning,540000.0,SR,,"SR540,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 8,Mana’s Cleaning Agency,332064.0,SR,,"SR332,064.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 9,M.D Enterprise,720000.0,SR,,"SR720,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 10,Beach Cleaning Services,819999.72,SR,,"SR819,999.72",Environment
Tender Award (JANUARY – APRIL 2021),Landscape & Waste Management Agency,Cleaning of Beaches Cat 3 – Retender Praslin Island - Lot 12,Nature Solutions Agency,900000.0,SR,,"SR900,000.00",Environment
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Multi Service Distribution Board and Accessories,Lucy Electric South Africa (Proprietary) Limited,,GBP,33404.3,"GBP 33,404.30",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Lands & Housing,Consultancy Services for Sewerage Treatment Plant at Grand Anse Mahe,Greentech Consultants,3925333.3,SR,,"SR3,925,333.30",Utilities
Tender Award (JANUARY – APRIL 2021),Seychelles Revenue Commission,Procurement to Acquire OECD Data Management Solution for SRC,RC Terblanche and Twenty57,,USD,36000.0,"USD36,000.00",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Education,Replacement of Damaged Roofing at Ex- Nisti Bel Ombre,Franky’s Construction,793860.22,SR,,"SR793,860.22",Other
